Gender - Selected Choice,Gender - Other (please describe) - Text,Years you attended college (put N/A if you haven't yet or never went to college),Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - Selected Choice,"Was your first experience with computer science a class in college or grade school (high/middle/elementary) school? - No, my first experience was not a class (please describe) - Text",What was the gender of the first person who taught you computer science? - Selected Choice,What was the gender of the first person who taught you computer science? - Other (please describe) - Text,"Were you more interested, less interested, or had the same amount of interest in 
computer science after your first class / experience with CS?","After this first class/experience, did you continue with computer science classes or 
programs?","Do you think the gender of your instructor impacted your choice to continue to study (or 
not study) computer science?",Which of these options best describes you? - Selected Choice,Which of these options best describes you? - Other (please describe) - Text,"If you never came back to computer science, why?",Other comments on your experience with computer science?
Male,,4,"Yes, a class in college",,Female,,More interested,Yes,"no. my first instructor was female, my advisor was female. I don't  ever recall gender being a relevant factor.",I am studying computer science as a major/ I graduated with a CS major,,,"I was very fortunate to have entered the field just as it was going vertical - completely by chance. During my 40+ year career, I worked with many impactful and influential female colleagues, including my first mentor. "
Male,,1976-1980,"Yes, a class in grade school",,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,I had a 40-year career in software engineering.
Male,,1978-1983,"Yes, a class in grade school",,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,"I went on to have a career in Computer Science, and have since retired"
Male,,4,"Yes, a class in college",,Other (please describe),Honestly it was in 1982 so I don't  recall but we did have both male and female professors.,More interested,Yes,Not really,"After some experience with computer science, I never came back to the field of study",,"Used my computer science education/degree in a engineering field,  then in the small business world. ",CS set me up in the 1980s/1990s as the guy who knew how to integrate the constantly changing computer tech being introduced (even though i was not directly doing hardware or software development. 
Female,,4,"Yes, a class in grade school",,Female,,Less interested,Yes,Yes,Other (please describe),"I majored in data science, and I work in a field related to data computer science but I don't use it directly ",,
Female,,5,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I graduated in 2010 and did not directly work with another female software engineer until 2018, and after starting a new job in October 2023, I'm now on an all-female development team (there is only two of us, but nonetheless exciting)."
Female,,6,"Yes, a class in college",,Male,,Same interest level,No,Not sure,Other (please describe),I went back to get a Master’s in CS after 15 years working in another field.,,It was much easier to consider a career switch to CS after meeting successful female SW developers.
Male,,1982-1987,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,7 - includes Grad school,"No, my first experience was not a class (please describe)",My dad brought home a terminal from work and we wrote a program for it when i was in 5th grade - 1977,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,I can't  say I ever looked at the sex of the teacher as a positive or negative.  I have had fantastic teachers of both sexes who encouraged me to go farther and obtain more.  
Male,,1983- 1987,"No, my first experience was not a class (please describe)",high school,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,"Really enjoyed my computer science journey starting in high school, then UVM.   I have gravitated to the Data and Analytics side.   During my time at UVM, i was in the Upsilon Pi Epsilon Computer science honor socienty.  I think we had about 20 female at that time.  I had observed at the time that alot of female decide to move toward a MIS (management information systems) degree."
Male,,5,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,5,"Yes, a class in college",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,2000-2008,"No, my first experience was not a class (please describe)",At home via books / magazines / personal computer,Male,,More interested,Yes,NO,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,1975-1980,"Yes, a class in college",,Male,,More interested,Yes,not really,Other (please describe),I graduated with a BS and an MS in CS and am now a Professor of Computer Science,,"I've been ""in"" CS for almost 50 years now and have been intellectually stimulated by it all of those years."
Male,,6,"Yes, a class in college",,Male,,More interested,Yes,No,Other (please describe),"I took 2 CS courses as an undergraduate, got my MS IN comSci, then worked 40 years in the field.",,A great experience to solve major business problems with computers.
Male,,1988-1992,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"She was not my first CS instructor, but the female professor I had for Computer Science at UVM in 1990 or 1991(?) was a great instructor and taught me some important lessons"
Male,,1982-1986,"Yes, a class in college",,Male,,More interested,Yes,"This professor was certainly a role model for me and shared my gender identity, so possbly.",I am studying computer science as a major/ I graduated with a CS major,,,I attended graduate school to study computer science and now work as a computer science professor.
Female,,4,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
Male,,4,"Yes, a class in college",,Female,,Same interest level,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,I have had both male and female CS professors. I have had both amazing and awful professors of both gender as well. The good ones are what kept me going!
Female,,4,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
Female,,1974-1978,"Yes, a class in college",,Male,,Same interest level,Yes, No,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,"Not really, it was a positive experience but I don't  think the teachers gender affected that.",I am studying computer science as a major/ I graduated with a CS major,,,I graduated in '87. Over the years there have been more and more women in IT and it's been great. More and more in management as well
Male,,5,"No, my first experience was not a class (please describe)",Programmed as a kid.,Other (please describe),Self Taught,More interested,Yes,no,Other (please describe),Retired. Worked as an application developer for 30 years,,CS Major from UVM.
Male,,5,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I really enjoyed the fact that during my undergrad studies at UVM, there was a 20-30% female representation in my classes. When I became a hiring manager early in my career, I made a point to hire virtually all qualified female software candidates. I also worked for female engineering managers at times."
Male,,2017-2021,"Yes, a class in grade school",,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2016-2020,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,2003-2007,"Yes, a class in grade school",,Male,,More interested,Yes,It did not,I am studying computer science as a major/ I graduated with a CS major,,,To boldly go where no one has gone before
Male,,6.5,"Yes, a class in college",,Male,,More interested,Yes,No,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,I felt a more practically oriented area of study was a better fit.,
Male,,1973-1977,"Yes, a class in grade school",,Male,,More interested,Yes,no,Other (please describe),I eventually got a PhD in Computer Science,,"It has been a great ride. When I started, there were almost no computers. Today computers are every where. I saw it happen. I helped it happen. I knew many of the great pioneers personally. There has been no time in history that has had greater or more important changes, and I lived through it. I am so lucky."
Female,,4,"No, my first experience was not a class (please describe)",Girls Who Code summer immersion program ,Female,,More interested,Yes,"Haven't  really thought about it before, but the environment I had when I first learned to code was very supportive, and the instructors (3 female college students) encouraged us to try and make mistakes ",I am studying computer science as a major/ I graduated with a CS major,,,"The quality of instruction also mattered a lot. In middle school, we had access to app making classes, which at the time I found uninteresting. GWC was an eye opening experience for me and I had a great time collaborating with other female high school students. When I took AP CS class in high school though, my teacher had no experience with computer science, which made me despise the class, as almost everything was self taught thru the textbook or AP prep book. But already having a foundation with CS, I decided to stick with the class and ultimately majored in CS in college. "
Female,,5,"Yes, a class in grade school",,Female,,Same interest level,Yes,Yes,Other (please describe),"Graduated in computer science, working in a field related to it not directly.",,
Male,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1982-1986,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,I was influenced by both male and female professors - but mostly male.
Non-binary,,"2018, 2019, 2020, 2021, 2022","Yes, a class in college",,Female,,Same interest level,Yes,100000 percent no.,I am studying computer science as a major/ I graduated with a CS major,,,"I once had a CS course that involved a paper on social justice, and the (female) instructor misinterpreted my work and attacked me in the feedback. It was traumatic but did not affect my relationship with CS."
Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,1974-2011,"Yes, a class in college",,Male,,Same interest level,Yes,no,Other (please describe),"I graduated UVM with a CS major, worked in CS for 30+ years and have since retired.",,It was an excellent career field for logical thinking!  The work was always interesting and valuable. 
Male,,Undergrad 2009-2012; Grad 2016-2020,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,-
Male,,1988-1992,"Yes, a class in grade school",,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in grade school",,Female,,More interested,Yes,"No, not really. How she taught was more impactful.",I am studying computer science as a major/ I graduated with a CS major,,,"I have been working in the field for 30+ years for different companies, as a software engineer."
Female,,6,"No, my first experience was not a class (please describe)",My undergrad,Male,,Less interested,Yes,It is hard to say. I found CS generally hard because I did not have any prior experience with the field. ,Other (please describe),Undergrad and MS in CS - plus I am working in the field as a lead data scientist!,,Representation matters! it definitely made it easy to see more women in classes or in professional setting! The brain does a trick of “you belong” when you see people like you at the table. 
Male,,2016 - 2020,"Yes, a class in grade school",,"Female,Male",,More interested,Yes,I do not ,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,UVM Class of 1996 (1992-1996),"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,CompSci needs to be less theoretical and more practical in its approach to educating students
Male,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2015-2019,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,Attending Grace Hopper Celebration of Women in Computing was empowering.
Male,,2017-2022,"Yes, a class in grade school",,Male,,More interested,Yes,Yes -- Because same gender makes it easier to imagine myself in a computer science role.,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2019-2023,"Yes, a class in college",,Male,,Less interested,Yes,I don't believe that it did ,"I am currently working in a field related to computer science, but I didn't major or minor in it",,,
Female,,6,"Yes, a class in grade school",,Female,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,1975-1980,"Yes, a class in college",,Male,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,2017 - 2021,"Yes, a class in grade school",,Male,,More interested,Yes,I don't  know,I am studying computer science as a major/ I graduated with a CS major,,,
Female,,4,"Yes, a class in grade school",,Female,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
Male,,5,"No, my first experience was not a class (please describe)","First experience was hands on a Tandy 1000 HX, in the late 1980s.",Male,,Same interest level,Yes,No.,I am studying computer science as a major/ I graduated with a CS major,,,"I had precisely one female computer science instructor: Prof. Eppstein. She was the only person in the CS department to ever give me a grade lower than an A. My scores in her class were perfect, but she gave me an A- because, she said, of my attendance. But her scoring formula announced at the start of the semester said nothing about attendance. 23 years later I'm still upset about this, and since her class I've avoided not only female computer science instructors, but also female software developers. And I've also avoided anything having anything to do with anything Bayesian."
Male,,7,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
