StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Statement of Consent,Q7,Q7_5_TEXT,Q8,Q9,Q9_3_TEXT,Q11,Q11_5_TEXT,Q12,Q13,Q14,Q15,Q15_6_TEXT,Q18,Q11
2024-01-26 12:12:25,2024-01-26 12:13:37,IP Address,100,72,True,2024-01-26 12:13:38,R_3E6fXvp6s3TZEnD,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in grade school",,Male,,More interested,Yes,i dont think so,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 12:12:42,2024-01-26 12:15:42,IP Address,100,180,True,2024-01-26 12:15:43,R_3pEjSXKaQMQ4bDT,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in college",,Male,,More interested,Yes,It didn't impact my choice,I am studying computer science as a major/ I graduated with a CS major,,,"If I had been exposed to computer science at a younger age, I think gender representation would have made a big impact on my experience. "
2024-01-26 12:09:35,2024-01-26 12:17:05,IP Address,100,449,True,2024-01-26 12:17:05,R_6iqcQJpU6dK4767,anonymous,EN,I consent to this survey,Male,,3.5,"No, my first experience was not a class (please describe)","I wanted to make video games in middle school, so I went to an ID Tech camp called ""Scratch and Intro to Java."" Some time after that, I had a few sessions with a sort of tutor / family friend who knew computer science.",Male,,More interested,Yes,"I don't think so; I was really interested in the material at the time, and would have stopped at nothing to learn how to make the kinds of things I wanted to make. However, there is a good chance that the fact that my earliest teachers were also men influenced my sensation that I belonged in that particular path. I did have a female computer science teacher in high school however who I also greatly admired, and helped influence my decision to continue to study computer science.",I am studying computer science as a major/ I graduated with a CS major,,,"Lisa Dion, a female professor of Computer Science here at UVM, is absolutely one of the best professors I've ever had, and her efforts on inclusivity have positively impacted my experience in CS and prompted me to think more about the issue."
2024-01-26 12:17:04,2024-01-26 12:18:50,IP Address,100,105,True,2024-01-26 12:18:50,R_5zvwmJg9kEvy8uN,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Male,,Less interested,Yes,Yes,I am studying computer science as a minor/ I graduated with a CS minor,,,I generally feel anxious in my CS classes which I feel like interferes with my ability to learn
2024-01-26 12:18:58,2024-01-26 12:20:28,IP Address,100,90,True,2024-01-26 12:20:28,R_5LaRFr6EHreGH6D,anonymous,EN,I consent to this survey,Female,,2020-2025,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 12:31:03,2024-01-26 12:32:07,IP Address,100,64,True,2024-01-26 12:32:08,R_61Hd7f6uGuqrAty,anonymous,EN,I consent to this survey,Female,,2.5,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 12:31:42,2024-01-26 12:33:27,IP Address,100,104,True,2024-01-26 12:33:28,R_7fx5jo3uDzh2XX4,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,Same interest level,Yes,"No, it more depended on their proficiency as a teacher",I am studying computer science as a major/ I graduated with a CS major,,,It is very much a male-dominated field
2024-01-26 12:19:04,2024-01-26 12:36:24,IP Address,100,1040,True,2024-01-26 12:36:25,R_5QfVdPO42A0Zfln,anonymous,EN,I consent to this survey,Male,,2.5,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 12:37:18,2024-01-26 12:38:45,IP Address,100,86,True,2024-01-26 12:38:45,R_7Hs9sCQgDPDu5vb,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"Male dominated, but haven't had any specific cases where I felt discriminated against. "
2024-01-26 12:44:31,2024-01-26 12:46:20,IP Address,100,109,True,2024-01-26 12:46:21,R_7fb4J6R6SgziMvv,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in college",,Male,,Same interest level,Yes,no,"I am currently working in a field related to computer science, but I didn’t major or minor in it",,,
2024-01-26 12:54:21,2024-01-26 12:57:13,IP Address,100,171,True,2024-01-26 12:57:14,R_5cvzEsrxGJgjuWR,anonymous,EN,I consent to this survey,Female,,2022-2024,"Yes, a class in college",,Male,,More interested,Yes,"No, not for this class. The instructor helped me realize how much I liked computer science, but I believe it was unrelated to his gender.",I am studying computer science as a major/ I graduated with a CS major,,,I really like the computer science department at this school. I have enjoyed every professor so far and learned a lot! So far 2/4 of my CS professors have been female which has been really nice to see as a woman in a stem field.
2024-01-26 13:01:16,2024-01-26 13:17:41,IP Address,100,984,True,2024-01-26 13:17:41,R_1hMhvr8rRybLI5S,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:18:06,2024-01-26 13:19:50,IP Address,100,103,True,2024-01-26 13:19:50,R_3C9fhKHYtMPifhu,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:00:05,2024-01-26 13:20:51,IP Address,100,1245,True,2024-01-26 13:20:51,R_7Lck2TakRc4Uvew,anonymous,EN,I consent to this survey,Male,,2,"Yes, a class in grade school",,Male,,More interested,Yes,Not at all,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:20:41,2024-01-26 13:21:45,IP Address,100,64,True,2024-01-26 13:21:45,R_6CTrv1PAoL3tNC9,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:39:50,2024-01-26 13:42:14,IP Address,100,143,True,2024-01-26 13:42:15,R_5VjDyyDcfyDSmg9,anonymous,EN,I consent to this survey,Agender,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:41:49,2024-01-26 13:42:53,IP Address,100,64,True,2024-01-26 13:42:56,R_3F5tL7CuwHoM3By,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in grade school",,Male,,Less interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:49:53,2024-01-26 13:51:22,IP Address,100,88,True,2024-01-26 13:51:22,R_3RxY7fyV2M0ERPM,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in college",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 14:05:00,2024-01-26 14:06:48,IP Address,100,108,True,2024-01-26 14:06:49,R_7R1qcqonUNaQgpT,anonymous,EN,I consent to this survey,Male,,"2023, 2024","Yes, a class in college",,Male,,Same interest level,Yes,I do not think so.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 14:05:31,2024-01-26 14:09:48,IP Address,100,257,True,2024-01-26 14:09:49,R_7QJjIhSEcQNySWt,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Male,,More interested,Yes,"I would've liked more female role models, but I still wanted to pursue studying computer science",I am studying computer science as a major/ I graduated with a CS major,,,"I have had two computer science professors and it has been a very positive experience. I especially always appreciate Lisa Dion bringing up diversity and inclusivity in her classes, something that belongs in every classroom."
2024-01-26 14:17:05,2024-01-26 14:18:37,IP Address,100,92,True,2024-01-26 14:18:38,R_5gnzdE2vrMCBGut,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in college",,Female,,More interested,Yes,"Maybe ",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 14:18:10,2024-01-26 14:20:18,IP Address,100,128,True,2024-01-26 14:20:18,R_3ltpj1BJkSIkIIw,anonymous,EN,I consent to this survey,Female,,2022 2024 2025,"Yes, a class in grade school",,Female,,More interested,Yes,"No ",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 14:23:22,2024-01-26 14:25:53,IP Address,100,151,True,2024-01-26 14:25:54,R_3liUdptRm8JdRbn,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,Unsure!,I am studying computer science as a major/ I graduated with a CS major,,,I'm glad I'm studying CS! Societies like SWICS make me feel comfortable and proud to be in CS
2024-01-26 14:24:21,2024-01-26 14:27:49,IP Address,100,207,True,2024-01-26 14:27:49,R_7dxNLiSDWeM4yAx,anonymous,EN,I consent to this survey,Female,,"2015-2019 (undergrad), 2023-present (grad)","Yes, a class in college",,Male,,More interested,Yes,No (but I do think having more diversity among professors would be beneficial for minority student retention),I am studying computer science as a major/ I graduated with a CS major,,,"When working as a software engineer, I was one of very few women on my team. However, I did feel that having other women to look up to in the field gave me more motivation to feel like I could stay, when things got difficult."
2024-01-26 14:38:13,2024-01-26 14:40:04,IP Address,100,110,True,2024-01-26 14:40:04,R_3mOcvPkbRz44KQc,anonymous,EN,I consent to this survey,Male,,1,"No, my first experience was not a class (please describe)",My father worked as a cto for image metrics and would always show me the stuff he was working on,Male,,More interested,Yes,Nope,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 15:49:58,2024-01-26 15:50:02,IP Address,100,4,True,2024-01-26 15:50:02,R_7THtvqlqgiKsESd,anonymous,EN,,,,,,,,,,,,,,,
2024-01-26 15:50:13,2024-01-26 15:51:41,IP Address,100,88,True,2024-01-26 15:51:42,R_7q9J6PdBWAmTxse,anonymous,EN,I consent to this survey,Female,,0.5,"Yes, a class in grade school",,Female,,More interested,Yes,No but the way the instructor supported my learning did.,I am studying computer science as a minor/ I graduated with a CS minor,,,N/A
2024-01-26 15:55:27,2024-01-26 15:56:23,IP Address,100,55,True,2024-01-26 15:56:23,R_6mAS4C21gbUBraN,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 16:16:42,2024-01-26 16:18:46,IP Address,100,124,True,2024-01-26 16:18:46,R_70V7pmZJAkWACxh,anonymous,EN,I consent to this survey,Non-binary,,2 so far,"Yes, a class in college",,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 17:12:38,2024-01-26 17:17:34,IP Address,100,296,True,2024-01-26 17:17:35,R_6GCJBhJ2Y7vosNC,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"I'm really glad to have met people who have researched deeply into computer science, or have significant experience in the professional world of CS. I'm also glad that I've had such a diverse array of teachers which I didn't experience much in my middle or elementary school."
2024-01-26 17:49:03,2024-01-26 17:52:09,IP Address,100,185,True,2024-01-26 17:52:09,R_6MXRlCG8Tj05p0U,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 18:08:08,2024-01-26 18:09:49,IP Address,100,101,True,2024-01-26 18:09:50,R_7yluy0TheCyoagj,anonymous,EN,I consent to this survey,Male,,1,"No, my first experience was not a class (please describe)",As a child with my father,Male,,More interested,Yes,"Not particularly, I was just brought up doing it in a small part","I am currently working in a field related to computer science, but I didn’t major or minor in it",,,
2024-01-26 19:01:44,2024-01-26 19:03:21,IP Address,100,96,True,2024-01-26 19:03:21,R_3p3Pt8IlebceQIp,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Female,,More interested,No,"not at that point but in college yes ",I am studying computer science as a major/ I graduated with a CS major,,,"professors make the biggest difference on understanding cs concepts and how much of a challenge it can be "
2024-01-26 19:09:48,2024-01-26 19:10:51,IP Address,100,63,True,2024-01-26 19:10:52,R_36mIuEslE0rsvMl,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,
2024-01-26 19:09:39,2024-01-26 19:10:52,IP Address,100,72,True,2024-01-26 19:10:53,R_3FLKV9XckoEPd5v,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in grade school",,Male,,More interested,Yes,not really,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 20:02:26,2024-01-26 20:03:30,IP Address,100,64,True,2024-01-26 20:03:31,R_1hCMOnZ2BA6xjcR,anonymous,EN,I consent to this survey,Female,,5,"Yes, a class in grade school",,Male,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 20:03:54,2024-01-26 20:05:16,IP Address,100,82,True,2024-01-26 20:05:17,R_1QKTjs16e1Og11e,anonymous,EN,I consent to this survey,Female,,5,"Yes, a class in grade school",,Male,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-27 07:22:42,2024-01-27 07:26:58,IP Address,100,256,True,2024-01-27 07:26:59,R_7DKe18RT593WdhL,anonymous,EN,I consent to this survey,Female,,6,"Yes, a class in college",,"Male,Other (please describe)","There are different courses in Computer Science taught by different gender. Most of the technical courses were taught by male teachers ",Same interest level,Yes,No,Other (please describe),PhD,,
2024-01-27 07:45:01,2024-01-27 07:47:27,IP Address,100,145,True,2024-01-27 07:47:27,R_1ar75g3kqzFUT9Z,anonymous,EN,I consent to this survey,Male,,2.5,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,It has taught me valuable life skills and job skills
2024-01-27 09:19:54,2024-01-27 09:21:20,IP Address,100,86,True,2024-01-27 09:21:21,R_6vx0rqGbY4hYnVD,anonymous,EN,I consent to this survey,Female,,"Stony Brook University ","Yes, a class in grade school",,Male,,More interested,Yes,No.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 13:32:10,2024-01-27 09:33:57,IP Address,100,72107,True,2024-01-27 09:33:58,R_7MJMbnbQ3y7jTR4,anonymous,EN,I consent to this survey,Female,,2023-2027,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-27 10:01:39,2024-01-27 10:04:26,IP Address,100,166,True,2024-01-27 10:04:26,R_31ptG0N6kV4elFZ,anonymous,EN,I consent to this survey,Male,,7,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-27 10:33:20,2024-01-27 10:34:48,IP Address,100,87,True,2024-01-27 10:34:48,R_4w4b5JKzh3bXaHz,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,More interested,Yes,Yes,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,.,It is god
2024-01-27 11:31:55,2024-01-27 11:33:55,IP Address,100,119,True,2024-01-27 11:33:56,R_3MXRUd5HGuXDxoQ,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in grade school",,Male,,Same interest level,Yes,Yes,"I am currently working in a field related to computer science, but I didn’t major or minor in it",,,
2024-01-27 11:56:12,2024-01-27 11:58:31,IP Address,100,138,True,2024-01-27 11:58:31,R_5CDRzV3MS2QJ37M,anonymous,EN,I consent to this survey,Male,,5,"No, my first experience was not a class (please describe)",a summer camp,Other (please describe),i don't remember,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-27 12:59:09,2024-01-27 13:02:19,IP Address,100,190,True,2024-01-27 13:02:20,R_3qKyAPq3kWAryge,anonymous,EN,I consent to this survey,Female,,1.5 (2?),"Yes, a class in grade school",,Male,,Less interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,"My first teacher in CS being a male didn't really affect my decision to continue in CS because the overall design of the course was so un-interesting to me. I do think that, when I took my first Python course at UVM, the fact that my instructor was not a male made me more interested and comfortable in pursuing CS. "
2024-01-27 15:16:35,2024-01-27 15:19:32,IP Address,100,176,True,2024-01-27 15:19:32,R_1hyQTG8szoHNBwR,anonymous,EN,I consent to this survey,Female,,"2022, 2023, 2024","Yes, a class in grade school",,Female,,More interested,Yes,"Absolutely. ",I am studying computer science as a major/ I graduated with a CS major,,,"I feel far less imposter syndrome when I have a female professor. "
2024-01-28 08:13:46,2024-01-28 08:15:02,IP Address,100,76,True,2024-01-28 08:15:03,R_7Sw9J1gqyGWpYDw,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in college",,Female,,More interested,Yes,no,I am studying computer science as a minor/ I graduated with a CS minor,,,
2024-01-28 08:58:39,2024-01-28 08:59:27,IP Address,100,48,True,2024-01-28 08:59:27,R_1Tg6ot8gA47VIzL,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Male,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-28 12:21:18,2024-01-28 12:23:25,IP Address,100,127,True,2024-01-28 12:23:26,R_7xRXyHvbr30vzeS,anonymous,EN,I consent to this survey,Female,,2023-currently,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-28 16:16:56,2024-01-28 16:31:08,IP Address,100,852,True,2024-01-28 16:31:09,R_7hKewj1B08g5ZeZ,anonymous,EN,I consent to this survey,Female,,2,"No, my first experience was not a class (please describe)",My first experience was with Khan Academy. In elementary school we used the website for math practice and my mom was supportive of at home use of it as well. They had a coding program which I used a little bit in 3rd grade. I also did robotics programming in high school and enjoyed both of these experiances.,Male,,Same interest level,No,"I don't think they did. When taking my first computer science class (Intro to Programming) at UVM, I took it online. I had little to no interaction with my professor. I heard his voice in the videos and exchanged some emails with him, but his gender was not something I paid attention to. This class was also what really sparked my interest and made me decide to change my major to computer science.  ",I am studying computer science as a major/ I graduated with a CS major,,,I do think there is a large male presence in computer science but I feel that there is an opening for women and myself.
2024-01-28 22:30:04,2024-01-28 22:31:27,IP Address,100,82,True,2024-01-28 22:31:27,R_6YSymG2L63tRKNA,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,N/A
2024-01-28 22:31:57,2024-01-28 22:32:22,IP Address,100,25,True,2024-01-28 22:32:23,R_6Csiu0iZcK0gbwR,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-29 00:06:49,2024-01-29 00:08:55,IP Address,100,126,True,2024-01-29 00:08:56,R_6qsksNzABxCGufn,anonymous,EN,I consent to this survey,Female,,8,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a minor/ I graduated with a CS minor,,,"I graduated with a minor in CS and decided to come back to school to get a PhD in CS "
2024-01-29 06:15:42,2024-01-29 06:18:45,IP Address,100,182,True,2024-01-29 06:18:46,R_7KJbGuDsgqA7Cpj,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,"Probably not directly. However, her teaching style may have, and I've noticed many women in CS are more dedicated and passionate about the field than their male peers.",Other (please describe),"Undergrad in CS, career as software engineer, returned for CS grad school",,I love CS and software engineering. I value what diversity they have and would like to see more of that.
2024-01-29 13:35:51,2024-01-29 13:40:23,IP Address,100,272,True,2024-01-29 13:40:24,R_7aK1KzOdHG5vnv1,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-30 05:24:43,2024-01-30 05:25:45,IP Address,100,62,True,2024-01-30 05:25:46,R_6VrbzAc3H3k4zYj,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in college",,Male,,More interested,Yes,Yes.,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-30 08:47:53,2024-01-30 08:49:37,IP Address,100,103,True,2024-01-30 08:49:37,R_6popvSs6wcNgxEc,anonymous,EN,I consent to this survey,Female,,1,"Yes, a class in grade school",,Female,,More interested,No,no,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-31 01:06:35,2024-01-31 01:08:23,IP Address,100,108,True,2024-01-31 01:08:23,R_55KPoMsLGK9j4Mu,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, my first experience was with Girls Who Code so I felt very supported and felt like I belonged in the CS community. ",I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-31 10:25:25,2024-01-31 10:26:30,IP Address,100,65,True,2024-01-31 10:26:31,R_5O1Cejcc6ZbhvYQ,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,N/A
2024-01-31 15:26:38,2024-01-31 15:40:41,IP Address,100,843,True,2024-01-31 15:40:42,R_7uILgReiiGw8bhT,anonymous,EN,I consent to this survey,Male,,3,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-02-01 12:35:39,2024-02-01 12:36:39,IP Address,100,60,True,2024-02-01 12:36:41,R_3XpbLXCdJBIiNTr,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Female,,Same interest level,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-01-26 14:48:21,2024-01-26 14:50:33,IP Address,8,131,False,2024-02-02 14:50:34,R_551EY3Ej94MlXNv,anonymous,EN,I consent to this survey,,,,,,,,,,,,,,
2024-01-26 16:45:22,2024-01-26 16:45:35,IP Address,8,12,False,2024-02-02 16:45:38,R_50tQ7kbcinqOFBT,anonymous,EN,I consent to this survey,,,,,,,,,,,,,,
2024-02-05 07:35:45,2024-02-05 07:37:00,IP Address,100,74,True,2024-02-05 07:37:01,R_6kaK2QooSBypQrF,anonymous,EN,I consent to this survey,Female,,2,"Yes, a class in college",,Female,,More interested,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,Love to be part of Computer science
2024-01-29 10:15:21,2024-01-29 10:15:46,IP Address,8,25,False,2024-02-05 10:15:48,R_3QViDMjFibr7VRa,anonymous,EN,I consent to this survey,,,,,,,,,,,,,,
2024-02-07 16:40:42,2024-02-07 16:48:19,IP Address,100,456,True,2024-02-07 16:48:20,R_6PFuKyHV7FrBGOl,anonymous,EN,I consent to this survey,Female,,3,"Yes, a class in grade school",,Male,,Less interested,Yes,"No, it depended on their teaching ability and class projects.",I am studying computer science as a major/ I graduated with a CS major,,,"I’ve had equally good and bad male and female CS professors. I also have a great female research advisor and program faculty coordinator; I believe female faculty are more passionate about doing social good on campus and are great role models. However, talking strictly teaching, I haven’t seen a great difference in impact between genders."
2024-02-08 14:46:23,2024-02-08 14:48:16,IP Address,100,112,True,2024-02-08 14:48:17,R_5dM6b88Ln1601r8,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in college",,Male,,Same interest level,Yes,no,I am studying computer science as a major/ I graduated with a CS major,,,"Because I was determined to be in CS, I didn’t let the fact that it was male-dominated get in my way. "
2024-02-05 07:35:01,2024-02-05 07:35:40,IP Address,8,38,False,2024-02-12 07:35:47,R_6Pcj8LLdM7DFmTN,anonymous,EN,I consent to this survey,,,,,,,,,,,,,,
2024-02-13 10:38:20,2024-02-13 10:39:36,IP Address,100,76,True,2024-02-13 10:39:37,R_6Uipd6Ut1Lq9Oal,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in college",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-02-13 10:38:52,2024-02-13 10:40:24,IP Address,100,92,True,2024-02-13 10:40:25,R_6WkKmYisncTAEq5,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in college",,Female,,More interested,Yes,No,"I am studying (or completed my education in) something else but continued to learn about computer science, just not as my major or minor. I ended up focusing on something else",,N/A,
2024-02-13 10:41:03,2024-02-13 10:42:33,IP Address,100,90,True,2024-02-13 10:42:33,R_29plKhcpMSR6Gfu,anonymous,EN,I consent to this survey,Male,,2013-present,"Yes, a class in college",,Female,,More interested,Yes,No,Other (please describe),I am studying data science as a PhD student.,,
2024-02-13 10:41:38,2024-02-13 10:44:10,IP Address,100,151,True,2024-02-13 10:44:10,R_2CcRgvDN6i2Ow8J,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in college",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,My women instructors were amazing and my favorite ones I had but they were not the reason I was more interested in CS
2024-02-13 10:42:33,2024-02-13 10:44:16,IP Address,100,102,True,2024-02-13 10:44:16,R_75Zpfs3wAk8CH4d,anonymous,EN,I consent to this survey,Male,,2016-2020,"Yes, a class in grade school",,Female,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,Working full time as a SWE
2024-02-13 10:40:59,2024-02-13 10:44:33,IP Address,100,213,True,2024-02-13 10:44:33,R_5DGUlAus6y6yBbe,anonymous,EN,I consent to this survey,Male,,5,"Yes, a class in college",,Female,,More interested,Yes,"Hard to say, Professor Jackie Horton was excellent!",Other (please describe),"Masters in data science, working in field for 4 years",,"Many pros and cons, from my observations and experience the professional field is still heavily male dominant and can be discriminatory depending on the workplace and management. "
2024-02-13 10:38:45,2024-02-13 10:44:44,IP Address,100,359,True,2024-02-13 10:44:45,R_5mrzYFLVuiw0FBv,anonymous,EN,I consent to this survey,Male,,"1968-73, 1976-78","No, my first experience was not a class (please describe)",Work-study for the CE dept.,Male,,More interested,Yes,No.,Other (please describe),"My actual undergrad degree was Math. CS hadn't been ""invented"" yet.  MS is in CS.",,"Worked in CS related fields from 1978 to retirement in 2021. Still doing some consulting, and I'm learning Python on my own now."
2024-02-13 10:42:58,2024-02-13 10:48:21,IP Address,100,322,True,2024-02-13 10:48:21,R_3rGIFIHvSUdsusw,anonymous,EN,I consent to this survey,Female,,4,"Yes, a class in grade school",,Male,,More interested,Yes,Yes. My motivation for pursuing computer science was in direct response to the fact that women weren't represented in the field.,I am studying computer science as a major/ I graduated with a CS major,,,"Currently, I am a product manager for a legal tech company. I manage about 10 software developers (all of whom are men). Although I am 6 months into my job, I am still learning how to effectively manage these developers, which I think is influence by the fact that I perceive judgement from them because of my gender."
2024-02-13 10:38:48,2024-02-13 10:50:35,IP Address,100,707,True,2024-02-13 10:50:36,R_1Ioed3eNpLLQZiz,anonymous,EN,I consent to this survey,Male,,1968-72.  1973-1980.,"Yes, a class in grade school",,Male,,More interested,Yes,No,Other (please describe),"I received my B.S. in Math.  I took engineering courses (Mechanical & Civil) for 5 years while dong software development for an engineering company.  In 1978, I pursued and received an M.S. in C.S. in 1980.   ",,"Currently retired after 31 years as a software engineer with IBM, developing internal CAD tools for chip developers."
2024-02-13 10:48:34,2024-02-13 10:51:06,IP Address,100,152,True,2024-02-13 10:51:07,R_6upnnN5r46mAV01,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in grade school",,Male,,More interested,Yes,No,I am studying computer science as a major/ I graduated with a CS major,,,
2024-02-13 10:43:00,2024-02-13 10:53:03,IP Address,100,603,True,2024-02-13 10:53:04,R_373ZGxcny3k224J,anonymous,EN,I consent to this survey,Female,,5,"Yes, a class in grade school",,Female,,Same interest level,Yes,No,"I am currently working in a field related to computer science, but I didn’t major or minor in it",,,"I have always studied and worked in male dominated fields and I have never been discriminated. "
2024-02-13 10:51:54,2024-02-13 10:54:38,IP Address,100,163,True,2024-02-13 10:54:38,R_51hKWOIkaAR6NBI,anonymous,EN,I consent to this survey,Male,,4,"Yes, a class in grade school",,Female,,More interested,Yes,I don't think so,I am studying computer science as a major/ I graduated with a CS major,,,
2024-02-13 10:52:37,2024-02-13 10:55:01,IP Address,100,144,True,2024-02-13 10:55:02,R_6PofNcSql2rqHSQ,anonymous,EN,I consent to this survey,Female,,2019-2022,"Yes, a class in grade school",,Female,,More interested,Yes,"Yes, I do think it had an impact",I am studying computer science as a major/ I graduated with a CS major,,,"The gender ratio of my high school computer science course was far more representative of my school's population than the mechanical (or other) engineering electives I took, which influenced my experience. "
